X,pre1,pre2,level,post
T^Z^H^U|L,[|[^[^[^TZ]H]U]L],| ^ ^ ^ T Z H U L ,| ^ L ^ U ? ? ^ H ? ? ? ? T Z ? ? ? ? ? ? ,T Z ^ H ^ U ^ L | 
Q^~Y^J-O-V,[-[^[^Q[~Y]]J][-OV]],- ^ ^ Q ~ Y J - O V ,- ^ - ^ J O V Q ~ ? ? ? ? ? ? ? ? Y ? ? ? ? ? ? ? ,Q Y ~ ^ J ^ O V - - 
S^~W|~T^~B|V,[|[|[^S[~W]][^[~T][~B]]]V],| | ^ S ~ W ^ ~ T ~ B V ,| | V ^ ^ ? ? S ~ ~ ~ ? ? ? ? W ? T ? B ? ? ? ,S W ~ ^ T ~ B ~ ^ | V | 
~P^~C^W-~Z-V,[-[^[^[~P][~C]]W][-[~Z]V]],- ^ ^ ~ P ~ C W - ~ Z V ,- ^ - ^ W ~ V ~ ~ ? ? Z ? ? ? P ? C ? ? ? ? ? ? ? ? ,P ~ C ~ ^ W ^ Z ~ V - - 
~O-B-~Q^~T,[-[~O][-B[^[~Q][~T]]]],- ~ O - B ^ ~ Q ~ T ,- ~ - O ? B ^ ? ? ? ? ? ~ ~ ? ? ? ? ? Q ? T ? ,O ~ B Q ~ T ~ ^ - - 
~T-~T|~Y|J|M,[-[~T][|[|[|[~T][~Y]]J]M]],- ~ T | | | ~ T ~ Y J M ,- ~ | T ? | M ? ? ? | J ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? T ? Y ? ? ? ? ? ,T ~ T ~ Y ~ | J | M | - 
~Y-~V^G-~U,[-[~Y][-[^[~V]G][~U]]],- ~ Y - ^ ~ V G ~ U ,- ~ - Y ? ^ ~ ? ? ? ~ G U ? ? ? ? V ? ? ? ? ? ? ,Y ~ V ~ G ^ U ~ - - 
W-K^~H,[-W[^K[~H]]],- W ^ K ~ H ,- W ^ ? ? K ~ ? ? ? ? H ? ,W K H ~ ^ - 
E^~I-A-O|~R,[-[^E[~I]][-A[|O[~R]]]],- ^ E ~ I - A | O ~ R ,- ^ - E ~ A | ? ? I ? ? ? O ~ ? ? ? ? ? ? ? ? ? R ? ,E I ~ ^ A O R ~ | - - 
~R-~R|I-~E|~D,[-[~R][-[|[~R]I][|[~E][~D]]]],- ~ R - | ~ R I | ~ E ~ D ,- ~ - R ? | | ? ? ? ~ I ~ ~ ? ? ? R ? ? ? E ? D ? ,R ~ R ~ I | E ~ D ~ | - - 
~A,,,,A ~
I|D^N|V|~D,[|[|[|I[^DN]]V][~D]],| | | I ^ D N V ~ D ,| | ~ | V D ? I ^ ? ? ? ? ? ? ? D N ? ? ? ? ? ,I D N ^ | V | D ~ | 
Y-~C-~L^Y-J,[-Y[-[~C][-[^[~L]Y]J]]],- Y - ~ C - ^ ~ L Y J ,- Y - ? ? ~ - ? ? C ? ^ J ? ? ? ? ? ~ Y ? ? ? ? ? ? ? L ? ? ? ? ? ,Y C ~ L ~ Y ^ J - - - 
N|~O^O|A,[|[|N[^[~O]O]]A],| | N ^ ~ O O A ,| | A N ^ ? ? ? ? ~ O ? ? ? ? O ? ? ? ? ? ,N O ~ O ^ | A | 
~X|C^~V,[|[~X][^C[~V]]],| ~ X ^ C ~ V ,| ~ ^ X ? C ~ ? ? ? ? ? V ? ,X ~ C V ~ ^ | 
G|~E-~L,[-[|G[~E]][~L]],- | G ~ E ~ L ,- | ~ G ~ L ? ? ? E ? ? ? ? ,G E ~ | L ~ - 
~D^~T|~R|U|G,[|[|[|[^[~D][~T]][~R]]U]G],| | | ^ ~ D ~ T ~ R U G ,| | G | U ? ? ^ ~ ? ? ? ? ~ ~ R ? ? ? ? ? D ? T ? ? ? ? ? ? ? ? ,D ~ T ~ ^ R ~ | U | G | 
J^~G^Y,[^[^J[~G]]Y],^ ^ J ~ G Y ,^ ^ Y J ~ ? ? ? ? G ? ? ? ,J G ~ ^ Y ^ 
~B,,,,B ~
D-~O-~M^S^A,[-D[-[~O][^[^[~M]S]A]]],- D - ~ O ^ ^ ~ M S A ,- D - ? ? ~ ^ ? ? O ? ^ A ? ? ? ? ? ~ S ? ? ? ? ? ? ? M ? ? ? ? ? ,D O ~ M ~ S ^ A ^ - - 
~L|~J-~S-~V-~V,[-[|[~L][~J]][-[~S][-[~V][~V]]]],- | ~ L ~ J - ~ S - ~ V ~ V ,- | - ~ ~ ~ - L ? J ? S ? ~ ~ ? ? ? ? ? ? ? ? ? V ? V ? ,L ~ J ~ | S ~ V ~ V ~ - - - 
V-W^~F-A,[-V[-[^W[~F]]A]],- V - ^ W ~ F A ,- V - ? ? ^ A ? ? W ~ ? ? ? ? ? ? F ? ? ? ,V W F ~ ^ A - - 
M|~I|U|~D,[|[|[|M[~I]]U][~D]],| | | M ~ I U ~ D ,| | ~ | U D ? M ~ ? ? ? ? ? ? ? I ? ? ? ? ? ? ,M I ~ | U | D ~ | 
~W^~O-V^S|Z,[-[^[~W][~O]][|[^VS]Z]],- ^ ~ W ~ O | ^ V S Z ,- ^ | ~ ~ ^ Z W ? O ? V S ? ? ,W ~ O ~ ^ V S ^ Z | - 
~Y^M^H,[^[^[~Y]M]H],^ ^ ~ Y M H ,^ ^ H ~ M ? ? Y ? ? ? ? ? ,Y ~ M ^ H ^ 
Y-W|Z|~D|O,[-Y[|[|[|WZ][~D]]O]],- Y | | | W Z ~ D O ,- Y | ? ? | O ? ? | ~ ? ? ? ? W Z D ? ? ? ,Y W Z | D ~ | O | - 
Z-G^~R^~T,[-Z[^[^G[~R]][~T]]],- Z ^ ^ G ~ R ~ T ,- Z ^ ? ? ^ ~ ? ? G ~ T ? ? ? ? ? R ? ? ? ? ,Z G R ~ ^ T ~ ^ - 
~D-H^V|~Z,[-[~D][|[^HV][~Z]]],- ~ D | ^ H V ~ Z ,- ~ | D ? ^ ~ ? ? ? H V Z ? ,D ~ H V ^ Z ~ | - 
~Z^P^P|~Y^~J,[|[^[^[~Z]P]P][^[~Y][~J]]],| ^ ^ ~ Z P P ^ ~ Y ~ J ,| ^ ^ ^ P ~ ~ ~ P ? ? Y ? J ? Z ? ? ? ? ? ? ? ? ? ? ? ,Z ~ P ^ P ^ Y ~ J ~ ^ | 
~N^~C-J^G-D,[-[^[~N][~C]][-[^JG]D]],- ^ ~ N ~ C - ^ J G D ,- ^ - ~ ~ ^ D N ? C ? J G ? ? ,N ~ C ~ ^ J G ^ D - - 
N^T|Q,[|[^NT]Q],| ^ N T Q ,| ^ Q N T ? ? ,N T ^ Q | 
~Q-J-~M,[-[~Q][-J[~M]]],- ~ Q - J ~ M ,- ~ - Q ? J ~ ? ? ? ? ? M ? ,Q ~ J M ~ - - 
V|~W-~V,[-[|V[~W]][~V]],- | V ~ W ~ V ,- | ~ V ~ V ? ? ? W ? ? ? ? ,V W ~ | V ~ - 
~F-~O|Q|~S|~Q,[-[~F][|[|[|[~O]Q][~S]][~Q]]],- ~ F | | | ~ O Q ~ S ~ Q ,- ~ | F ? | ~ ? ? ? | ~ Q ? ? ? ? ~ Q S ? ? ? ? ? ? ? O ? ? ? ? ? ? ? ? ? ,F ~ O ~ Q | S ~ | Q ~ | - 
~C,,,,C ~
N-~M^Q^B,[-N[^[^[~M]Q]B]],- N ^ ^ ~ M Q B ,- N ^ ? ? ^ B ? ? ~ Q ? ? ? ? M ? ? ? ? ? ,N M ~ Q ^ B ^ - 
~C-~F|V,[-[~C][|[~F]V]],- ~ C | ~ F V ,- ~ | C ? ~ V ? ? ? F ? ? ? ,C ~ F ~ V | - 
~I|~J^~W,[|[~I][^[~J][~W]]],| ~ I ^ ~ J ~ W ,| ~ ^ I ? ~ ~ ? ? ? J ? W ? ,I ~ J ~ W ~ ^ | 
~T|~N|E^Y,[|[|[~T][~N]][^EY]],| | ~ T ~ N ^ E Y ,| | ^ ~ ~ E Y T ? N ? ? ? ? ? ,T ~ N ~ | E Y ^ | 
T|M|U^~G,[|[|TM][^U[~G]]],| | T M ^ U ~ G ,| | ^ T M U ~ ? ? ? ? ? ? G ? ,T M | U G ~ ^ | 
S^Q-Z^W,[-[^SQ][^ZW]],- ^ S Q ^ Z W ,- ^ ^ S Q Z W ,S Q ^ Z W ^ - 
P|M|I|~B,[|[|[|PM]I][~B]],| | | P M I ~ B ,| | ~ | I B ? P M ? ? ? ? ? ,P M | I | B ~ | 
~H^~P^C^Q-D,[-[^[^[^[~H][~P]]C]Q]D],- ^ ^ ^ ~ H ~ P C Q D ,- ^ D ^ Q ? ? ^ C ? ? ? ? ~ ~ ? ? ? ? ? ? H ? P ? ? ? ? ? ? ? ,H ~ P ~ ^ C ^ Q ^ D - 
~D-O^~C^~Y,[-[~D][^[^O[~C]][~Y]]],- ~ D ^ ^ O ~ C ~ Y ,- ~ ^ D ? ^ ~ ? ? ? O ~ Y ? ? ? ? ? ? C ? ? ? ? ,D ~ O C ~ ^ Y ~ ^ - 
~K|V-U,[-[|[~K]V]U],- | ~ K V U ,- | U ~ V ? ? K ? ? ? ? ? ,K ~ V | U - 
~I-A^~Z^P,[-[~I][^[^A[~Z]]P]],- ~ I ^ ^ A ~ Z P ,- ~ ^ I ? ^ P ? ? ? A ~ ? ? ? ? ? ? ? Z ? ? ? ,I ~ A Z ~ ^ P ^ - 
T^S^~V|F,[|[^[^TS][~V]]F],| ^ ^ T S ~ V F ,| ^ F ^ ~ ? ? T S V ? ? ? ,T S ^ V ~ ^ F | 
~H-~I|R^P,[-[~H][|[~I][^RP]]],- ~ H | ~ I ^ R P ,- ~ | H ? ~ ^ ? ? ? I ? R P ,H ~ I ~ R P ^ | - 
T|E^Y^~Z-~B,[-[|T[^[^EY][~Z]]][~B]],- | T ^ ^ E Y ~ Z ~ B ,- | ~ T ^ B ? ? ? ^ ~ ? ? ? ? ? E Y Z ? ? ? ? ,T E Y ^ Z ~ ^ | B ~ - 
~G|N^T-~C-X,[-[|[~G][^NT]][-[~C]X]],- | ~ G ^ N T - ~ C X ,- | - ~ ^ ~ X G ? N T C ? ? ? ,G ~ N T ^ | C ~ X - - 
~F^S-~V-B-B,[-[^[~F]S][-[~V][-BB]]],- ^ ~ F S - ~ V - B B ,- ^ - ~ S ~ - F ? ? ? V ? B B ,F ~ S ^ V ~ B B - - - 
~M|W-~I,[-[|[~M]W][~I]],- | ~ M W ~ I ,- | ~ ~ W I ? M ? ? ? ? ? ? ,M ~ W | I ~ - 
~E-~J-J-Z|E,[-[~E][-[~J][-J[|ZE]]]],- ~ E - ~ J - J | Z E ,- ~ - E ? ~ - ? ? ? J ? J | ? ? ? ? ? ? ? ? Z E ,E ~ J ~ J Z E | - - - 
W|J-~F-K|I,[-[|WJ][-[~F][|KI]]],- | W J - ~ F | K I ,- | - W J ~ | ? ? ? ? F ? K I ,W J | F ~ K I | - - 
~K|N|~L-L,[-[|[|[~K]N][~L]]L],- | | ~ K N ~ L L ,- | L | ~ ? ? ~ N L ? ? ? K ? ? ? ? ? ? ? ? ,K ~ N | L ~ | L - 
A|A-~L^~L-N,[-[|AA][-[^[~L][~L]]N]],- | A A - ^ ~ L ~ L N ,- | - A A ^ N ? ? ? ? ~ ~ ? ? ? ? ? ? L ? L ? ? ? ,A A | L ~ L ~ ^ N - - 
~G|B^D|~O^~J,[|[|[~G][^BD]][^[~O][~J]]],| | ~ G ^ B D ^ ~ O ~ J ,| | ^ ~ ^ ~ ~ G ? B D O ? J ? ,G ~ B D ^ | O ~ J ~ ^ | 
W-V-~Q,[-W[-V[~Q]]],- W - V ~ Q ,- W - ? ? V ~ ? ? ? ? Q ? ,W V Q ~ - - 
~Z|Y|~X-~M-R,[-[|[|[~Z]Y][~X]][-[~M]R]],- | | ~ Z Y ~ X - ~ M R ,- | - | ~ ~ R ~ Y X ? M ? ? ? Z ? ? ? ? ? ? ? ? ? ? ? ,Z ~ Y | X ~ | M ~ R - - 
C-~P-~I^P|~J,[-C[-[~P][|[^[~I]P][~J]]]],- C - ~ P | ^ ~ I P ~ J ,- C - ? ? ~ | ? ? P ? ^ ~ ? ? ? ? ? ~ P J ? ? ? ? ? ? I ? ? ? ? ? ? ,C P ~ I ~ P ^ J ~ | - - 
U-~Z|~W-V|P,[-U[-[|[~Z][~W]][|VP]]],- U - | ~ Z ~ W | V P ,- U - ? ? | | ? ? ~ ~ V P ? ? Z ? W ? ? ? ? ? ,U Z ~ W ~ | V P | - - 
~T|P-~A|~P-H,[-[|[~T]P][-[|[~A][~P]]H]],- | ~ T P - | ~ A ~ P H ,- | - ~ P | H T ? ? ? ~ ~ ? ? ? ? ? ? ? A ? P ? ? ? ,T ~ P | A ~ P ~ | H - - 
I-A-B|~X,[-I[-A[|B[~X]]]],- I - A | B ~ X ,- I - ? ? A | ? ? ? ? B ~ ? ? ? ? ? ? X ? ,I A B X ~ | - - 
~C^Q-A-~V,[-[^[~C]Q][-A[~V]]],- ^ ~ C Q - A ~ V ,- ^ - ~ Q A ~ C ? ? ? ? ? V ? ,C ~ Q ^ A V ~ - - 
B-~L-V-M^V,[-B[-[~L][-V[^MV]]]],- B - ~ L - V ^ M V ,- B - ? ? ~ - ? ? L ? V ^ ? ? ? ? ? ? ? M V ,B L ~ V M V ^ - - - 
Y|E|~T,[|[|YE][~T]],| | Y E ~ T ,| | ~ Y E T ? ,Y E | T ~ | 
~I-W^C,[-[~I][^WC]],- ~ I ^ W C ,- ~ ^ I ? W C ,I ~ W C ^ - 
J-G|F,[-J[|GF]],- J | G F ,- J | ? ? G F ,J G F | - 
~K^~J|~T-~E|~N,[-[|[^[~K][~J]][~T]][|[~E][~N]]],- | ^ ~ K ~ J ~ T | ~ E ~ N ,- | | ^ ~ ~ ~ ~ ~ T ? E ? N ? K ? J ? ? ? ? ? ? ? ? ? ? ,K ~ J ~ ^ T ~ | E ~ N ~ | - 
~C|~P|~S|Z^~B,[|[|[|[~C][~P]][~S]][^Z[~B]]],| | | ~ C ~ P ~ S ^ Z ~ B ,| | ^ | ~ Z ~ ~ ~ S ? ? ? B ? C ? P ? ? ? ? ? ? ? ? ? ,C ~ P ~ | S ~ | Z B ~ ^ | 
X-~L|~D-A,[-X[-[|[~L][~D]]A]],- X - | ~ L ~ D A ,- X - ? ? | A ? ? ~ ~ ? ? ? ? L ? D ? ? ? ,X L ~ D ~ | A - - 
~M|~M^~P|D-Y,[-[|[|[~M][^[~M][~P]]]D]Y],- | | ~ M ^ ~ M ~ P D Y ,- | Y | D ? ? ~ ^ ? ? ? ? M ? ~ ~ ? ? ? ? ? ? ? M ? P ? ? ? ? ? ,M ~ M ~ P ~ ^ | D | Y - 
~F-X-~G|O-~I,[-[~F][-X[-[|[~G]O][~I]]]],- ~ F - X - | ~ G O ~ I ,- ~ - F ? X - ? ? ? ? ? | ~ ? ? ? ? ? ~ O I ? ? ? ? ? ? G ? ? ? ? ? ? ,F ~ X G ~ O | I ~ - - - 
K-F^Q-~C,[-K[-[^FQ][~C]]],- K - ^ F Q ~ C ,- K - ? ? ^ ~ ? ? F Q C ? ,K F Q ^ C ~ - - 
E-X|~P,[-E[|X[~P]]],- E | X ~ P ,- E | ? ? X ~ ? ? ? ? P ? ,E X P ~ | - 
E^D|~J,[|[^ED][~J]],| ^ E D ~ J ,| ^ ~ E D J ? ,E D ^ J ~ | 
~O-Z^~X,[-[~O][^Z[~X]]],- ~ O ^ Z ~ X ,- ~ ^ O ? Z ~ ? ? ? ? ? X ? ,O ~ Z X ~ ^ - 
Q|T-K|~V,[-[|QT][|K[~V]]],- | Q T | K ~ V ,- | | Q T K ~ ? ? ? ? ? ? V ? ,Q T | K V ~ | - 
~D,,,,D ~
~R-~C-~I,[-[~R][-[~C][~I]]],- ~ R - ~ C ~ I ,- ~ - R ? ~ ~ ? ? ? C ? I ? ,R ~ C ~ I ~ - - 
F-B|I,[-F[|BI]],- F | B I ,- F | ? ? B I ,F B I | - 
~O-F^~G,[-[~O][^F[~G]]],- ~ O ^ F ~ G ,- ~ ^ O ? F ~ ? ? ? ? ? G ? ,O ~ F G ~ ^ - 
~Y-~T^~G|F-N,[-[~Y][-[|[^[~T][~G]]F]N]],- ~ Y - | ^ ~ T ~ G F N ,- ~ - Y ? | N ? ? ? ^ F ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? T ? G ? ? ? ? ? ,Y ~ T ~ G ~ ^ F | N - - 
~A^~Y|~R^I,[|[^[~A][~Y]][^[~R]I]],| ^ ~ A ~ Y ^ ~ R I ,| ^ ^ ~ ~ ~ I A ? Y ? R ? ? ? ,A ~ Y ~ ^ R ~ I ^ | 
~V^~G|Q|E,[|[|[^[~V][~G]]Q]E],| | ^ ~ V ~ G Q E ,| | E ^ Q ? ? ~ ~ ? ? ? ? V ? G ? ? ? ? ? ,V ~ G ~ ^ Q | E | 
~P-~J-T,[-[~P][-[~J]T]],- ~ P - ~ J T ,- ~ - P ? ~ T ? ? ? J ? ? ? ,P ~ J ~ T - - 
~W|W-C|~F,[-[|[~W]W][|C[~F]]],- | ~ W W | C ~ F ,- | | ~ W C ~ W ? ? ? ? ? F ? ,W ~ W | C F ~ | - 
K|~I|~G|Q,[|[|[|K[~I]][~G]]Q],| | | K ~ I ~ G Q ,| | Q | ~ ? ? K ~ G ? ? ? ? ? I ? ? ? ? ? ? ,K I ~ | G ~ | Q | 
~K-~H^H|~X,[-[~K][|[^[~H]H][~X]]],- ~ K | ^ ~ H H ~ X ,- ~ | K ? ^ ~ ? ? ? ~ H X ? ? ? ? H ? ? ? ? ? ? ,K ~ H ~ H ^ X ~ | - 
~R-F|~B,[-[~R][|F[~B]]],- ~ R | F ~ B ,- ~ | R ? F ~ ? ? ? ? ? B ? ,R ~ F B ~ | - 
~D-S|~Y,[-[~D][|S[~Y]]],- ~ D | S ~ Y ,- ~ | D ? S ~ ? ? ? ? ? Y ? ,D ~ S Y ~ | - 
~Y|~N|~R^Q,[|[|[~Y][~N]][^[~R]Q]],| | ~ Y ~ N ^ ~ R Q ,| | ^ ~ ~ ~ Q Y ? N ? R ? ? ? ,Y ~ N ~ | R ~ Q ^ | 
G-A-~C^K,[-G[-A[^[~C]K]]],- G - A ^ ~ C K ,- G - ? ? A ^ ? ? ? ? ~ K ? ? ? ? C ? ? ? ,G A C ~ K ^ - - 
M-O^~X-K,[-M[-[^O[~X]]K]],- M - ^ O ~ X K ,- M - ? ? ^ K ? ? O ~ ? ? ? ? ? ? X ? ? ? ,M O X ~ ^ K - - 
E|A-D^V,[-[|EA][^DV]],- | E A ^ D V ,- | ^ E A D V ,E A | D V ^ - 
A|~Q|N-O-U,[-[|[|A[~Q]]N][-OU]],- | | A ~ Q N - O U ,- | - | N O U A ~ ? ? ? ? ? ? ? ? Q ? ? ? ? ? ? ? ,A Q ~ | N | O U - - 
~H-~L^~Y-~T,[-[~H][-[^[~L][~Y]][~T]]],- ~ H - ^ ~ L ~ Y ~ T ,- ~ - H ? ^ ~ ? ? ? ~ ~ T ? ? ? ? L ? Y ? ? ? ? ,H ~ L ~ Y ~ ^ T ~ - - 
~Q|P|V|V|Z,[|[|[|[|[~Q]P]V]V]Z],| | | | ~ Q P V V Z ,| | Z | V ? ? | V ? ? ? ? ~ P ? ? ? ? ? ? Q ? ? ? ? ? ? ? ? ? ,Q ~ P | V | V | Z | 
~D|~O^F|~F^~U,[|[|[~D][^[~O]F]][^[~F][~U]]],| | ~ D ^ ~ O F ^ ~ F ~ U ,| | ^ ~ ^ ~ ~ D ? ~ F F ? U ? ? ? ? O ? ? ? ? ? ? ? ? ? ,D ~ O ~ F ^ | F ~ U ~ ^ | 
~O^P|L|F|O,[|[|[|[^[~O]P]L]F]O],| | | ^ ~ O P L F O ,| | O | F ? ? ^ L ? ? ? ? ~ P ? ? ? ? ? ? O ? ? ? ? ? ? ? ? ? ,O ~ P ^ L | F | O | 
K|Y|E-~S|Q,[-[|[|KY]E][|[~S]Q]],- | | K Y E | ~ S Q ,- | | | E ~ Q K Y ? ? S ? ? ? ,K Y | E | S ~ Q | - 
~V|~V^R-~Q,[-[|[~V][^[~V]R]][~Q]],- | ~ V ^ ~ V R ~ Q ,- | ~ ~ ^ Q ? V ? ~ R ? ? ? ? ? ? V ? ? ? ? ? ? ,V ~ V ~ R ^ | Q ~ - 
~K-~K|Y,[-[~K][|[~K]Y]],- ~ K | ~ K Y ,- ~ | K ? ~ Y ? ? ? K ? ? ? ,K ~ K ~ Y | - 
~Z^~I^U|~B,[|[^[^[~Z][~I]]U][~B]],| ^ ^ ~ Z ~ I U ~ B ,| ^ ~ ^ U B ? ~ ~ ? ? ? ? ? Z ? I ? ? ? ? ? ? ,Z ~ I ~ ^ U ^ B ~ | 
~I-V|~O|~L,[-[~I][|[|V[~O]][~L]]],- ~ I | | V ~ O ~ L ,- ~ | I ? | ~ ? ? ? V ~ L ? ? ? ? ? ? O ? ? ? ? ,I ~ V O ~ | L ~ | - 
~K|~F-~E,[-[|[~K][~F]][~E]],- | ~ K ~ F ~ E ,- | ~ ~ ~ E ? K ? F ? ? ? ? ,K ~ F ~ | E ~ - 
E-A-~X,[-E[-A[~X]]],- E - A ~ X ,- E - ? ? A ~ ? ? ? ? X ? ,E A X ~ - - 
~Z-~Z-M-K|~R,[-[~Z][-[~Z][-M[|K[~R]]]]],- ~ Z - ~ Z - M | K ~ R ,- ~ - Z ? ~ - ? ? ? Z ? M | ? ? ? ? ? ? ? ? K ~ ? ? ? ? ? ? ? ? ? ? R ? ,Z ~ Z ~ M K R ~ | - - - 
Y-~W|O,[-Y[|[~W]O]],- Y | ~ W O ,- Y | ? ? ~ O ? ? W ? ? ? ,Y W ~ O | - 
Q-~C-~V-~V,[-Q[-[~C][-[~V][~V]]]],- Q - ~ C - ~ V ~ V ,- Q - ? ? ~ - ? ? C ? ~ ~ ? ? ? ? ? V ? V ? ,Q C ~ V ~ V ~ - - - 
X-~Q-~D|I|D,[-X[-[~Q][|[|[~D]I]D]]],- X - ~ Q | | ~ D I D ,- X - ? ? ~ | ? ? Q ? | D ? ? ? ? ? ~ I ? ? ? ? ? ? ? D ? ? ? ? ? ,X Q ~ D ~ I | D | - - 
~D|~D-Y|W-~Q,[-[|[~D][~D]][-[|YW][~Q]]],- | ~ D ~ D - | Y W ~ Q ,- | - ~ ~ | ~ D ? D ? Y W Q ? ,D ~ D ~ | Y W | Q ~ - - 
~K^~H^~U,[^[^[~K][~H]][~U]],^ ^ ~ K ~ H ~ U ,^ ^ ~ ~ ~ U ? K ? H ? ? ? ? ,K ~ H ~ ^ U ~ ^ 
T|F^~L-~W,[-[|T[^F[~L]]][~W]],- | T ^ F ~ L ~ W ,- | ~ T ^ W ? ? ? F ~ ? ? ? ? ? ? ? L ? ? ? ? ,T F L ~ ^ | W ~ - 
~W-V|X|~K,[-[~W][|[|VX][~K]]],- ~ W | | V X ~ K ,- ~ | W ? | ~ ? ? ? V X K ? ,W ~ V X | K ~ | - 
D-~V-~U,[-D[-[~V][~U]]],- D - ~ V ~ U ,- D - ? ? ~ ~ ? ? V ? U ? ,D V ~ U ~ - - 
~J^U-J-~O|C,[-[^[~J]U][-J[|[~O]C]]],- ^ ~ J U - J | ~ O C ,- ^ - ~ U J | J ? ? ? ? ? ~ C ? ? ? ? ? ? ? O ? ? ? ,J ~ U ^ J O ~ C | - - 
~F-C-~M^~R^Q,[-[~F][-C[^[^[~M][~R]]Q]]],- ~ F - C ^ ^ ~ M ~ R Q ,- ~ - F ? C ^ ? ? ? ? ? ^ Q ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? M ? R ? ? ? ,F ~ C M ~ R ~ ^ Q ^ - - 
~N^~A-J|C|S,[-[^[~N][~A]][|[|JC]S]],- ^ ~ N ~ A | | J C S ,- ^ | ~ ~ | S N ? A ? J C ? ? ,N ~ A ~ ^ J C | S | - 
~R-B|~C|C-E,[-[~R][-[|[|B[~C]]C]E]],- ~ R - | | B ~ C C E ,- ~ - R ? | E ? ? ? | C ? ? ? ? ? B ~ ? ? ? ? ? ? ? ? ? C ? ? ? ? ? ,R ~ B C ~ | C | E - - 
J|~W^T,[|J[^[~W]T]],| J ^ ~ W T ,| J ^ ? ? ~ T ? ? W ? ? ? ,J W ~ T ^ | 
~B|I-I-~F,[-[|[~B]I][-I[~F]]],- | ~ B I - I ~ F ,- | - ~ I I ~ B ? ? ? ? ? F ? ,B ~ I | I F ~ - - 
R^P|~N,[|[^RP][~N]],| ^ R P ~ N ,| ^ ~ R P N ? ,R P ^ N ~ | 
~A|~S^U^~X^~A,[|[~A][^[^[^[~S]U][~X]][~A]]],| ~ A ^ ^ ^ ~ S U ~ X ~ A ,| ~ ^ A ? ^ ~ ? ? ? ^ ~ A ? ? ? ? ~ U X ? ? ? ? ? ? ? S ? ? ? ? ? ? ? ? ? ,A ~ S ~ U ^ X ~ ^ A ~ ^ | 
F|~V-M,[-[|F[~V]]M],- | F ~ V M ,- | M F ~ ? ? ? ? V ? ? ? ,F V ~ | M - 
~W-~J|Y,[-[~W][|[~J]Y]],- ~ W | ~ J Y ,- ~ | W ? ~ Y ? ? ? J ? ? ? ,W ~ J ~ Y | - 
M^T^X|~L^O,[|[^[^MT]X][^[~L]O]],| ^ ^ M T X ^ ~ L O ,| ^ ^ ^ X ~ O M T ? ? L ? ? ? ,M T ^ X ^ L ~ O ^ | 
O^S^Z|L,[|[^[^OS]Z]L],| ^ ^ O S Z L ,| ^ L ^ Z ? ? O S ? ? ? ? ,O S ^ Z ^ L | 
